Literal,Node_ID,Position,Feature
x479,16,"(1, 7)",M
x480,16,"(1, 7)",N
x481,16,"(1, 7)",P
x482,16,"(1, 7)",Q
x483,16,"(1, 7)",R
x484,16,"(1, 7)",S
x485,16,"(1, 7)",T
x486,16,"(1, 7)",U
x487,16,"(1, 7)",V
x488,16,"(1, 7)",W
x489,16,"(1, 7)",Y
x490,16,"(1, 7)",Z
x491,16,"(1, 7)",Connected
x492,16,"(1, 7)",Not Connected
x493,17,"(1, 8)",X
x494,17,"(1, 8)",O
x495,17,"(1, 8)", 
x496,17,"(1, 8)",A
x497,17,"(1, 8)",B
x498,17,"(1, 8)",C
x499,17,"(1, 8)",D
x500,17,"(1, 8)",E
x501,17,"(1, 8)",F
x502,17,"(1, 8)",G
x503,17,"(1, 8)",H
x504,17,"(1, 8)",I
x505,17,"(1, 8)",J
x506,17,"(1, 8)",K
x507,17,"(1, 8)",L
x508,17,"(1, 8)",M
x509,17,"(1, 8)",N
x510,17,"(1, 8)",P
x511,17,"(1, 8)",Q
x512,17,"(1, 8)",R
x513,17,"(1, 8)",S
x514,17,"(1, 8)",T
x515,17,"(1, 8)",U
x516,17,"(1, 8)",V
x517,17,"(1, 8)",W
x518,17,"(1, 8)",Y
x519,17,"(1, 8)",Z
x520,17,"(1, 8)",Connected
x521,17,"(1, 8)",Not Connected
x522,18,"(2, 0)",X
x523,18,"(2, 0)",O
x524,18,"(2, 0)", 
x525,18,"(2, 0)",A
x526,18,"(2, 0)",B
x527,18,"(2, 0)",C
x528,18,"(2, 0)",D
x529,18,"(2, 0)",E
x530,18,"(2, 0)",F
x531,18,"(2, 0)",G
x532,18,"(2, 0)",H
x533,18,"(2, 0)",I
x534,18,"(2, 0)",J
x535,18,"(2, 0)",K
x536,18,"(2, 0)",L
x537,18,"(2, 0)",M
x538,18,"(2, 0)",N
x539,18,"(2, 0)",P
x540,18,"(2, 0)",Q
x541,18,"(2, 0)",R
x542,18,"(2, 0)",S
x543,18,"(2, 0)",T
x544,18,"(2, 0)",U
x545,18,"(2, 0)",V
x546,18,"(2, 0)",W
x547,18,"(2, 0)",Y
x548,18,"(2, 0)",Z
x549,18,"(2, 0)",Connected
x550,18,"(2, 0)",Not Connected
x551,19,"(2, 1)",X
x552,19,"(2, 1)",O
x553,19,"(2, 1)", 
x554,19,"(2, 1)",A
x555,19,"(2, 1)",B
x556,19,"(2, 1)",C
x557,19,"(2, 1)",D
x558,19,"(2, 1)",E
x559,19,"(2, 1)",F
x560,19,"(2, 1)",G
x561,19,"(2, 1)",H
x562,19,"(2, 1)",I
x563,19,"(2, 1)",J
x564,19,"(2, 1)",K
x565,19,"(2, 1)",L
x566,19,"(2, 1)",M
x567,19,"(2, 1)",N
x568,19,"(2, 1)",P
x569,19,"(2, 1)",Q
x570,19,"(2, 1)",R
x571,19,"(2, 1)",S
x572,19,"(2, 1)",T
x573,19,"(2, 1)",U
x574,19,"(2, 1)",V
x575,19,"(2, 1)",W
x576,19,"(2, 1)",Y
x577,19,"(2, 1)",Z
x578,19,"(2, 1)",Connected
x579,19,"(2, 1)",Not Connected
x580,20,"(2, 2)",X
x581,20,"(2, 2)",O
x582,20,"(2, 2)", 
x583,20,"(2, 2)",A
x584,20,"(2, 2)",B
x585,20,"(2, 2)",C
x586,20,"(2, 2)",D
x587,20,"(2, 2)",E
x588,20,"(2, 2)",F
x589,20,"(2, 2)",G
x590,20,"(2, 2)",H
x591,20,"(2, 2)",I
x592,20,"(2, 2)",J
x593,20,"(2, 2)",K
x594,20,"(2, 2)",L
x595,20,"(2, 2)",M
x596,20,"(2, 2)",N
x597,20,"(2, 2)",P
x598,20,"(2, 2)",Q
x599,20,"(2, 2)",R
x600,20,"(2, 2)",S
x601,20,"(2, 2)",T
x602,20,"(2, 2)",U
x603,20,"(2, 2)",V
x604,20,"(2, 2)",W
x605,20,"(2, 2)",Y
x606,20,"(2, 2)",Z
x607,20,"(2, 2)",Connected
x608,20,"(2, 2)",Not Connected
x609,21,"(2, 3)",X
x610,21,"(2, 3)",O
x611,21,"(2, 3)", 
x612,21,"(2, 3)",A
x613,21,"(2, 3)",B
x614,21,"(2, 3)",C
x615,21,"(2, 3)",D
x616,21,"(2, 3)",E
x617,21,"(2, 3)",F
x618,21,"(2, 3)",G
x619,21,"(2, 3)",H
x620,21,"(2, 3)",I
x621,21,"(2, 3)",J
x622,21,"(2, 3)",K
x623,21,"(2, 3)",L
x624,21,"(2, 3)",M
x625,21,"(2, 3)",N
x626,21,"(2, 3)",P
x627,21,"(2, 3)",Q
x628,21,"(2, 3)",R
x629,21,"(2, 3)",S
x630,21,"(2, 3)",T
x631,21,"(2, 3)",U
x632,21,"(2, 3)",V
x633,21,"(2, 3)",W
x634,21,"(2, 3)",Y
x635,21,"(2, 3)",Z
x636,21,"(2, 3)",Connected
x637,21,"(2, 3)",Not Connected
x638,22,"(2, 4)",X
x639,22,"(2, 4)",O
x640,22,"(2, 4)", 
x641,22,"(2, 4)",A
x642,22,"(2, 4)",B
x643,22,"(2, 4)",C
x644,22,"(2, 4)",D
x645,22,"(2, 4)",E
x646,22,"(2, 4)",F
x647,22,"(2, 4)",G
x648,22,"(2, 4)",H
x649,22,"(2, 4)",I
x650,22,"(2, 4)",J
x651,22,"(2, 4)",K
x652,22,"(2, 4)",L
x653,22,"(2, 4)",M
x654,22,"(2, 4)",N
x655,22,"(2, 4)",P
x656,22,"(2, 4)",Q
x657,22,"(2, 4)",R
x658,22,"(2, 4)",S
x659,22,"(2, 4)",T
x660,22,"(2, 4)",U
x661,22,"(2, 4)",V
x662,22,"(2, 4)",W
x663,22,"(2, 4)",Y
x664,22,"(2, 4)",Z
x665,22,"(2, 4)",Connected
x666,22,"(2, 4)",Not Connected
x667,23,"(2, 5)",X
x668,23,"(2, 5)",O
x669,23,"(2, 5)", 
x670,23,"(2, 5)",A
x671,23,"(2, 5)",B
x672,23,"(2, 5)",C
x673,23,"(2, 5)",D
x674,23,"(2, 5)",E
x675,23,"(2, 5)",F
x676,23,"(2, 5)",G
x677,23,"(2, 5)",H
x678,23,"(2, 5)",I
x679,23,"(2, 5)",J
x680,23,"(2, 5)",K
x681,23,"(2, 5)",L
x682,23,"(2, 5)",M
x683,23,"(2, 5)",N
x684,23,"(2, 5)",P
x685,23,"(2, 5)",Q
x686,23,"(2, 5)",R
x687,23,"(2, 5)",S
x688,23,"(2, 5)",T
x689,23,"(2, 5)",U
x690,23,"(2, 5)",V
x691,23,"(2, 5)",W
x692,23,"(2, 5)",Y
x693,23,"(2, 5)",Z
x694,23,"(2, 5)",Connected
x695,23,"(2, 5)",Not Connected
x696,24,"(2, 6)",X
x697,24,"(2, 6)",O
x698,24,"(2, 6)", 
x699,24,"(2, 6)",A
x700,24,"(2, 6)",B
x701,24,"(2, 6)",C
x702,24,"(2, 6)",D
x703,24,"(2, 6)",E
x704,24,"(2, 6)",F
x705,24,"(2, 6)",G
x706,24,"(2, 6)",H
x707,24,"(2, 6)",I
x708,24,"(2, 6)",J
x709,24,"(2, 6)",K
x710,24,"(2, 6)",L
x711,24,"(2, 6)",M
x712,24,"(2, 6)",N
x713,24,"(2, 6)",P
x714,24,"(2, 6)",Q
x715,24,"(2, 6)",R
x716,24,"(2, 6)",S
x717,24,"(2, 6)",T
x718,24,"(2, 6)",U
x719,24,"(2, 6)",V
x720,24,"(2, 6)",W
x721,24,"(2, 6)",Y
x722,24,"(2, 6)",Z
x723,24,"(2, 6)",Connected
x724,24,"(2, 6)",Not Connected
x725,25,"(2, 7)",X
x726,25,"(2, 7)",O
x727,25,"(2, 7)", 
x728,25,"(2, 7)",A
x729,25,"(2, 7)",B
x730,25,"(2, 7)",C
x731,25,"(2, 7)",D
x732,25,"(2, 7)",E
x733,25,"(2, 7)",F
x734,25,"(2, 7)",G
x735,25,"(2, 7)",H
x736,25,"(2, 7)",I
x737,25,"(2, 7)",J
x738,25,"(2, 7)",K
x739,25,"(2, 7)",L
x740,25,"(2, 7)",M
x741,25,"(2, 7)",N
x742,25,"(2, 7)",P
x743,25,"(2, 7)",Q
x744,25,"(2, 7)",R
x745,25,"(2, 7)",S
x746,25,"(2, 7)",T
x747,25,"(2, 7)",U
x748,25,"(2, 7)",V
x749,25,"(2, 7)",W
x750,25,"(2, 7)",Y
x751,25,"(2, 7)",Z
x752,25,"(2, 7)",Connected
x753,25,"(2, 7)",Not Connected
x754,26,"(2, 8)",X
x755,26,"(2, 8)",O
x756,26,"(2, 8)", 
x757,26,"(2, 8)",A
x758,26,"(2, 8)",B
x759,26,"(2, 8)",C
x760,26,"(2, 8)",D
x761,26,"(2, 8)",E
x762,26,"(2, 8)",F
x763,26,"(2, 8)",G
x764,26,"(2, 8)",H
x765,26,"(2, 8)",I
x766,26,"(2, 8)",J
x767,26,"(2, 8)",K
x768,26,"(2, 8)",L
x769,26,"(2, 8)",M
x770,26,"(2, 8)",N
x771,26,"(2, 8)",P
x772,26,"(2, 8)",Q
x773,26,"(2, 8)",R
x774,26,"(2, 8)",S
x775,26,"(2, 8)",T
x776,26,"(2, 8)",U
x777,26,"(2, 8)",V
x778,26,"(2, 8)",W
x779,26,"(2, 8)",Y
x780,26,"(2, 8)",Z
x781,26,"(2, 8)",Connected
x782,26,"(2, 8)",Not Connected
x783,27,"(3, 0)",X
x784,27,"(3, 0)",O
x785,27,"(3, 0)", 
x786,27,"(3, 0)",A
x787,27,"(3, 0)",B
x788,27,"(3, 0)",C
x789,27,"(3, 0)",D
x790,27,"(3, 0)",E
x791,27,"(3, 0)",F
x792,27,"(3, 0)",G
x793,27,"(3, 0)",H
x794,27,"(3, 0)",I
x795,27,"(3, 0)",J
x796,27,"(3, 0)",K
x797,27,"(3, 0)",L
x798,27,"(3, 0)",M
x799,27,"(3, 0)",N
x800,27,"(3, 0)",P
x801,27,"(3, 0)",Q
x802,27,"(3, 0)",R
x803,27,"(3, 0)",S
x804,27,"(3, 0)",T
x805,27,"(3, 0)",U
x806,27,"(3, 0)",V
x807,27,"(3, 0)",W
x808,27,"(3, 0)",Y
x809,27,"(3, 0)",Z
x810,27,"(3, 0)",Connected
x811,27,"(3, 0)",Not Connected
x812,28,"(3, 1)",X
x813,28,"(3, 1)",O
x814,28,"(3, 1)", 
x815,28,"(3, 1)",A
x816,28,"(3, 1)",B
x817,28,"(3, 1)",C
x818,28,"(3, 1)",D
x819,28,"(3, 1)",E
x820,28,"(3, 1)",F
x821,28,"(3, 1)",G
x822,28,"(3, 1)",H
x823,28,"(3, 1)",I
x824,28,"(3, 1)",J
x825,28,"(3, 1)",K
x826,28,"(3, 1)",L
x827,28,"(3, 1)",M
x828,28,"(3, 1)",N
x829,28,"(3, 1)",P
x830,28,"(3, 1)",Q
x831,28,"(3, 1)",R
x832,28,"(3, 1)",S
x833,28,"(3, 1)",T
x834,28,"(3, 1)",U
x835,28,"(3, 1)",V
x836,28,"(3, 1)",W
x837,28,"(3, 1)",Y
x838,28,"(3, 1)",Z
x839,28,"(3, 1)",Connected
x840,28,"(3, 1)",Not Connected
